"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"198","Chris Paul tries to shake Noah Vonleh gets turned away Harden says my turn bruh",FALSE,0,NA,2017-12-11 20:52:00,FALSE,NA,"940323302689689605",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","___ALL__STAR___",224,TRUE,FALSE,NA,NA
"199","im still mad he got a ring before melo and chris paul lmaooo",FALSE,0,NA,2017-12-11 20:51:02,FALSE,NA,"940323059302649860",NA,"<a href=""http://tweetlogix.com"" rel=""nofollow"">Tweetlogix</a>","Coach_Miles_",22,TRUE,FALSE,NA,NA
"200","Mans out there wearing Chris Paul signature shoes and he thinks theyre Js ",FALSE,0,"burricanes",2017-12-11 20:50:18,FALSE,"940321649865515010","940322874933596160","351862330","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Team__305",0,FALSE,FALSE,NA,NA
"201","When scientists say bears are going extinct I want people to realize what it looks like says photographer Paul Nicklen http",FALSE,0,NA,2017-12-11 20:49:44,FALSE,NA,"940322734856384512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chris_Thone",232445,TRUE,FALSE,NA,NA
"202","Its not your job to walk into the room with the right answer but with a great question Paul Bennett",FALSE,0,NA,2017-12-11 20:49:36,FALSE,NA,"940322699158720515",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chris_Wagg",58,TRUE,FALSE,NA,NA
"203","If you missed last nights talk withand son the GOP tax plan watch it on demand on your lunch",FALSE,0,NA,2017-12-11 20:49:24,FALSE,NA,"940322650668154880",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","geekpondering",49,TRUE,FALSE,NA,NA
"204","Chris Paul is currently a toppoint guard",FALSE,0,NA,2017-12-11 20:49:13,FALSE,NA,"940322601754177536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","famouswaynee",1,TRUE,FALSE,NA,NA
"205","im still mad he got a ring before melo and chris paul lmaooo",FALSE,0,NA,2017-12-11 20:48:51,FALSE,NA,"940322509001388032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaydenbasedhall",22,TRUE,FALSE,NA,NA
"206","im still mad he got a ring before melo and chris paul lmaooo",FALSE,0,NA,2017-12-11 20:47:33,FALSE,NA,"940322183385174021",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WavyKendawg",22,TRUE,FALSE,NA,NA
"207","Chris Paul vs Spurs GameFirst Round 
 QuigonObiwan vs Darth Maul",FALSE,0,NA,2017-12-11 20:45:34,FALSE,NA,"940321685592596481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ClipperholicsFS",1,TRUE,FALSE,NA,NA
"208","Chris Paul still hasnt lost a game since he left the Clippers",FALSE,0,NA,2017-12-11 20:45:16,FALSE,NA,"940321609683959808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iHateKwame",436,TRUE,FALSE,NA,NA
"209","Chris Paul vs Spurs GameFirst Round 
 QuigonObiwan vs Darth Maul",FALSE,7,NA,2017-12-11 20:45:04,FALSE,NA,"940321560359047170",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Louis_Killick",1,FALSE,FALSE,NA,NA
"210","im still mad he got a ring before melo and chris paul lmaooo",FALSE,0,NA,2017-12-11 20:44:24,FALSE,NA,"940321390397452288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","terenceisme",22,TRUE,FALSE,NA,NA
"211","im still mad he got a ring before melo and chris paul lmaooo",FALSE,0,NA,2017-12-11 20:43:41,FALSE,NA,"940321209312407552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SkoolyT24",22,TRUE,FALSE,NA,NA
"212","If you missed last nights talk withand son the GOP tax plan watch it on demand on your lunch",FALSE,0,NA,2017-12-11 20:43:16,FALSE,NA,"940321105948143626",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SailorPsy",49,TRUE,FALSE,NA,NA
"213","im still mad he got a ring before melo and chris paul lmaooo",FALSE,0,NA,2017-12-11 20:43:12,FALSE,NA,"940321088613027840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BashsharOsman",22,TRUE,FALSE,NA,NA
"214","If you missed last nights talk withand son the GOP tax plan watch it on demand on your lunch",FALSE,0,NA,2017-12-11 20:43:00,FALSE,NA,"940321039791415296",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","erharder",49,TRUE,FALSE,NA,NA
"215","If you missed last nights talk withand son the GOP tax plan watch it on demand on your lunch",FALSE,0,NA,2017-12-11 20:42:40,FALSE,NA,"940320954760220673",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","shereedre10",49,TRUE,FALSE,NA,NA
